date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2023-01-31,84.179104,91.36,88.4544,96.0,84.133034,91.31,87.76335,95.25,403366.869,403366.869
2023-01-30,87.404004,94.86,88.509684,96.06,81.35962,88.3,84.188318,91.37,987138.227,987138.227
2023-01-29,82.612724,89.66,90.085278,97.77,82.60351,89.65,87.385576,94.84,1268331.01,1268331.01
2023-01-28,81.903246,88.89,82.889144,89.96,80.124944,86.96,82.621938,89.67,392046.681,392046.681
2023-01-27,80.631714,87.51,82.216522,89.23,79.065334,85.81,81.903246,88.89,418850.126,418850.126
2023-01-26,82.354732,89.38,82.889144,89.96,79.995948,86.82,80.640928,87.52,475990.334,475990.334
2023-01-25,80.336866,87.19,84.704302,91.93,78.807342,85.53,82.354732,89.38,529309.147,529309.147
2023-01-24,82.843074,89.91,84.26203,91.45,79.2404,86.0,80.336866,87.19,499687.344,499687.344
2023-01-23,80.696212,87.58,85.87448,93.2,80.631714,87.51,82.83386,89.9,691207.974,691207.974
2023-01-22,81.000274,87.91,82.97207,90.05,79.304898,86.07,80.696212,87.58,501770.041,501770.041
2023-01-21,83.183992,90.28,84.86094,92.1,80.686998,87.57,81.000274,87.91,720620.997,720620.997
2023-01-20,77.591094,84.21,84.234388,91.42,76.4762,83.0,83.183992,90.28,757424.447,757424.447
2023-01-19,76.126068,82.62,77.922798,84.57,75.250738,81.67,77.591094,84.21,484324.341,484324.341
2023-01-18,80.198656,87.04,81.45176,88.4,75.656154,82.11,76.126068,82.62,935842.004,935842.004
2023-01-17,79.185116,85.94,82.363946,89.39,77.876728,84.52,80.180228,87.02,740669.448,740669.448
2023-01-16,80.502718,87.37,82.152024,89.16,77.314674,83.91,79.157474,85.91,750074.107,750074.107
2023-01-15,80.935776,87.84,81.709752,88.68,78.512494,85.21,80.502718,87.37,586627.267,586627.267
2023-01-14,79.461536,86.24,84.059322,91.23,79.166688,85.92,80.935776,87.84,1747194.881,1747194.881
2023-01-13,79.323326,86.09,81.073986,87.99,77.019826,83.59,79.452322,86.23,891288.557,891288.557
2023-01-12,77.471312,84.08,80.80678,87.7,74.6334,81.0,79.323326,86.09,1427276.097,1427276.097
2023-01-11,74.467548,80.82,78.319,85.0,73.601432,79.88,77.471312,84.08,968676.069,968676.069
2023-01-10,75.195454,81.61,76.33799,82.85,73.186802,79.43,74.476762,80.83,847925.336,847925.336
2023-01-09,72.486538,78.67,77.038254,83.61,71.952126,78.09,75.204668,81.62,1179300.917,1179300.917
2023-01-08,70.39496,76.4,72.772172,78.98,69.178712,75.08,72.495752,78.68,626879.182,626879.182
2023-01-07,69.943474,75.91,70.828018,76.87,69.538058,75.47,70.39496,76.4,388687.641,388687.641
2023-01-06,68.41395,74.25,70.560812,76.58,66.727788,72.42,69.943474,75.91,797819.975,797819.975
2023-01-05,69.528844,75.46,70.275178,76.27,67.750542,73.53,68.41395,74.25,562086.168,562086.168
2023-01-04,69.630198,75.57,71.859986,77.99,68.478448,74.32,69.528844,75.46,773197.793,773197.793
